converged,reason,fun,start_seed,start_theta_eav,start_theta0,market,theta0,theta_vix,theta_eav,loglik,nit,mean_sigma2
True,,,136,2.062426034771145e-06,2.207812519776474e-06,CH,2.207812519776474e-06,-2.0483206358084555e-07,2.062426034771145e-06,71886.92518913103,3.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,137,1.4201212357874146e-05,0.0002071131221023974,CH,,,,,,
True,,,138,3.256201408264598e-05,3.5223636167644786e-05,CH,0.00027264934980635014,1.4587749701999792e-07,0.00025841045580494727,77595.98928036311,24.0,0.0003523132441568119
True,,,139,2.41452079579852e-06,1.3329979819463694e-05,CH,0.00032421045575329027,1.5780496907629442e-07,0.0004902488204418821,77850.95058778838,53.0,0.0003523132441568119
True,,,140,8.098365560894575e-05,6.337040592817813e-05,CH,0.0002696228530781038,9.27720129163869e-08,0.0001628314777458245,77659.75576307587,7.0,0.0003523132441568119
True,,,141,1.0115441815846046e-06,9.710513307050848e-05,CH,0.0003172947891006617,2.621310584238984e-07,0.0003525718624431313,77991.77711736636,44.0,0.0003523132441568119
True,,,142,5.6037224817874656e-05,1.1485772729783015e-06,CH,8.331834552427644e-07,-5.680835469113675e-07,-0.000254954230543879,74782.93876491071,3.0,0.0003523132441568119
False,penalty-trap,76590215285.95267,43,1.132554875961837e-06,5.76150766343344e-05,ID,,,,,,
False,penalty-trap,77903545613.94586,44,1.2449818583770718e-05,2.141907118426978e-06,ID,,,,,,
True,,,45,0.00011509834820107835,3.522592869595156e-05,ID,0.00024633248224041317,3.5909484612899303e-07,2.9341857768313757e-05,76316.13341837608,9.0,0.00040685674595126173
False,penalty-trap,10000000000000.0,46,5.4407352746566345e-06,0.00027809858465410546,ID,,,,,,
True,,,47,1.8009776333784686e-05,0.00010048502217734858,ID,0.000272068815635738,2.119137671342556e-07,8.683292451071212e-05,76276.51832869774,6.0,0.00040685674595126173
True,,,48,2.436308381612445e-05,1.1127313550901642e-05,ID,0.0003338056090270442,3.037972338935117e-07,0.0004673681786598901,76487.93109291529,31.0,0.00040685674595126173
True,,,49,1.1425148807831397e-05,9.535260907994748e-06,ID,0.000291154617403414,2.1767682391358818e-07,0.00045049063312010165,76275.53223721302,34.0,0.00040685674595126173
True,,,50,3.011464190246085e-05,0.00013342285396419502,ID,0.0002559133638221114,2.625420196210494e-07,0.0004503136744739629,76383.51192237993,27.0,0.00040685674595126173
False,penalty-trap,10000000000000.0,51,4.87512056084135e-06,0.00034963952341182495,ID,,,,,,
True,,,52,2.524832292533634e-05,4.591195063624828e-05,ID,0.0002507403828717445,2.6874228677026814e-07,0.00010711213392944308,76069.1521272053,5.0,0.00040685674595126173
True,,,53,7.828929036770207e-06,1.071596840758407e-06,ID,0.00036531214255752624,3.301774326326588e-07,0.0006517369739644645,76426.5537993319,35.0,0.00040685674595126173
True,,,54,1.6405281277794262e-06,3.9846487727265224e-06,ID,0.00031173868702744897,2.7395696498951643e-07,0.0005223386730489376,76417.96123696935,18.0,0.00040685674595126173
True,,,55,3.8846528562406475e-06,0.00017628837689328424,ID,0.0002857213079089968,1.8693880724538295e-07,4.802149566193935e-05,76068.31515096668,7.0,0.00040685674595126173
False,penalty-trap,3770768583630.614,56,0.00044376460756318545,9.115750463865973e-05,ID,,,,,,
