date,news_count,gdelt_total,news_share,log_news_share,news_z
2025-12-10,2118,200873,0.010543975546738487,-4.552200620388324,-0.9675105025152076
2025-12-11,1646,155709,0.010571001033980053,-4.549640778382726,-0.9505105752400926
2025-12-12,2130,187120,0.011383069687900812,-4.47562814255459,-0.49375328563475535
2025-12-13,1246,135001,0.009229561262509166,-4.6853437654531405,-1.778760256135447
2025-12-14,1018,123899,0.008216369785066869,-4.801626799449175,-2.4683996048612866
2025-12-15,1705,182367,0.009349279200732589,-4.672456029483931,-1.6506477869564233
2025-12-16,1942,198144,0.009800952842377262,-4.625275669218019,-1.351355733051492
2025-12-17,2365,228585,0.010346260690771485,-4.571130110466037,-1.0153778260308022
2025-12-18,2088,215046,0.009709550514773584,-4.634645288710859,-1.3885833006923676
2025-12-19,1848,200195,0.009230999775219162,-4.685187918324772,-1.678100412580256
2025-12-20,1091,134563,0.008107726492423624,-4.814937784012216,-2.432288999986292
2025-12-21,1148,148779,0.007716142735197844,-4.86444068550972,-2.6841036361547532
2025-12-22,1652,160488,0.010293604506255919,-4.5762324983210005,-0.9684047766891086
2025-12-23,1774,219233,0.008091847486464172,-4.816898207300599,-2.3525635906583915
2025-12-24,1471,187761,0.007834427809822062,-4.849227435857303,-2.5074094974194514
2025-12-25,1172,140380,0.008348767630716626,-4.785641340147454,-2.1190056454211157
2025-12-26,1446,159916,0.00904224717976938,-4.7058475536365005,-1.6445956279147724
2025-12-27,1332,137431,0.009692136417547716,-4.636440400853727,-1.2429313573492624
2025-12-28,1096,131303,0.008347105549758954,-4.7858404409605955,-2.072516380129259
2025-12-29,1827,176613,0.010344651865944183,-4.571285620748741,-0.8588167382669798
2025-12-30,1668,154614,0.010788156311847569,-4.529306384391051,-0.6243021895240185
2025-12-31,2076,177972,0.011664756253792732,-4.451183269244184,-0.19367828545437402
2026-01-01,1311,138144,0.009490097289784572,-4.657506414591504,-1.3512040953540105
2026-01-02,1329,164611,0.008073579529922058,-4.819158334954502,-2.2415244169332413
2026-01-03,830,125367,0.006620562029880272,-5.017575013863462,-3.302766901889178
2026-01-04,964,126399,0.00762664261584348,-4.876107554660648,-2.457286601868781
2026-01-05,1338,180929,0.007395166059614545,-4.906928727410302,-2.5822778968118745
2026-01-06,1051,137632,0.007636305510346431,-4.874841364706512,-2.369522494396438
2026-01-07,1634,178364,0.009161041465766635,-4.692795409623032,-1.3942817028495686
2026-01-08,2262,187056,0.012092635360533744,-4.415158659570534,0.05531236957570172
2026-01-09,1863,178962,0.010410031179803533,-4.5649854011816915,-0.7281864134435596
2026-01-10,1359,162128,0.008382265864008684,-4.781637011536955,-1.8525020343732332
2026-01-11,949,123113,0.0077083654853671016,-4.8654491131858055,-2.267289956450495
2026-01-12,1334,155352,0.008586950924352438,-4.7575115624178865,-1.6823642963542615
2026-01-13,2170,214908,0.010097343979749474,-4.595482862020234,-0.8414540029096325
2026-01-14,2492,192646,0.01293564361575117,-4.347768706889619,0.42070356564301203
2026-01-15,1723,191755,0.008985424108888947,-4.7121515579809055,-1.4394371771217789
2026-01-16,1512,154566,0.00978222895073949,-4.627187911829171,-1.0055169227847105
2026-01-17,960,110343,0.008700144096136592,-4.7444156906844395,-1.6086350292081049
2026-01-18,858,102886,0.00833932702214101,-4.786772758656167,-1.819088118860205
2026-01-19,1054,122748,0.008586697950272101,-4.7575410231437,-1.6475561117945876
